,birth_date,gender,area,title,specialization,salary,education_level,education,language,experience,skill_set,skills
0,27,Женщина,Турция,Frontend-разработчик,"Программист, разработчик",,Среднее специальное образование,,"['Русский', 'Английский']",1,"[""['React'"", "" 'HTML5'"", "" 'CSS3'"", "" 'Redux'"", "" 'MongoDB'"", "" 'Node.js'"", "" 'Express'"", "" 'JavaScript'"", "" 'Организаторские навыки'"", "" 'Работа с большим объемом информации'"", "" 'GitHub'"", "" 'SCSS']""]","Skills: JavaScript, REACT, gitHub, emailJs, Noide.js, MongoDB, Express, Python, SQL (mySQL)
gitHub: https://github.com/FJuli
"
1,32,Male,Turkey,"Frontend developer(React js , React native)","Programmer, developer",,Higher education,0,"['Russian', 'English']",1,"[""['ООП'"", "" 'MySQL'"", "" 'MVC'"", "" 'Entity Framework'"", "" 'Git'"", "" 'ASP.NET CORE'"", "" 'React'"", "" 'React Native'"", "" 'Node.js'"", "" 'Redux'"", "" 'MobX'"", "" 'Next.js'"", "" 'Material UI'"", "" 'XML'"", "" 'CSS'"", "" 'SOLID'"", "" 'Redux-saga'"", "" 'C#'"", "" 'SQL'"", "" 'JavaScript'"", "" 'TypeScript'"", "" 'MS Visual Studio'"", "" 'Visual Studio C#'"", "" 'Web Application Development'"", "" 'HTML'"", "" 'ASP.NET'"", "" 'Razor pages'"", "" 'WEB API'"", "" 'Js'"", "" 'Jira']""]","I plunged into the study of programming in C #, preferring web development, and in particular ASP.Net Core. As a result, I worked on a large project on ASP.Net Core. Worked with Jira and GitHub. Now I am working with React.js and React Native, and I would like to develop in this direction.
At my new job, the main thing for me is gaining knowledge.
Lead an active lifestyle (play in the amateur soccer league, play ukulele)
In people I appreciate the adequacy and sense of humor.
https://github.com/SupDanil
I will be glad to your suggestions)
Программирование я начал с изучения C#, отдав предпочтение веб-разработке, и в частности ASP.Net Core. В итоге я работал над большим проектом на ASP.Net Core. Работал с Jira и GitHub. Сейчас работаю с React.js и React Native, и хотелось бы развиваться в этом направлении.
На моей новой работе главное для меня – это получение знаний.
Веду активный образ жизни (играю в любительской футбольной лиге, играю на укулеле)
В людях ценю адекватность и чувство юмора.
https://github.com/SupDanil
Буду рад вашим предложениям)"
2,35,Мужчина,Турция,"Моушен дизайн, режиссер монтажа","Видеооператор, видеомонтажер",,Высшее образование,7,"['Русский', 'Английский']",0,"[""['Adobe Photoshop'"", "" 'Adobe Illustrator'"", "" 'Final Cut'"", "" 'Sony Acid'"", "" 'Видеомонтаж'"", "" 'Видеосъемка'"", "" 'Adobe After Effect'"", "" 'Adobe Premier Pro'"", "" 'Креативность'"", "" 'Обработка видео'"", "" 'Работа в команде'"", "" 'Графический дизайн']""]","В видеопроизводстве 13 лет. Успел поработать на всех этапах, начиная с разработки идеи, заканчивая motion design. Поэтому знаю всё от и до, как работает продакшн, в том числе и работа с клиентом. 
За это время преуспел в видеосъёмке, в монтаже и в моушен дизайне. Последнее мне интересно сейчас больше всего и есть желание развиваться в этом направлении. 
Владею профессиональными программами: 
After Effect, Illustrator, Premier, Photoshop, Figma.
Не пугает изучение других программ, т.к быстро и легко могу освоить основной функционал.
Главные мои достоинства - это ответственность и перфекционизм. Эти качества помогают мне делать работу на высоком уровне, а богатым опытом в индустрии компенсируется время на ее выполнение."
3,25,Мужчина,Турция,Менеджер по продажам(удаленно),Мастер-приемщик,,Неоконченное высшее образование,,"['Русский', 'Английский']",1,"[""['Быстрооьучаемость'"", "" 'Материальная ответственность'"", "" '1С программирование'"", "" 'Активные продажи'"", "" 'Работа с жалобами клиентов'"", "" 'Грамотная речь'"", "" 'Управление персоналом'"", "" 'Навыки продаж'"", "" 'Умение работать в команде']""]","Переехал в Турцию, проживаю в Анталии. Имеется ПК и доступ в интернет, компьютером владею хорошо. Знаю и умею продавать по технике продаж. 
В данный момент в свободное время обучаюсь в IT направлении удаленно.
Ищу работу в Турции. "
4,,Мужчина,Бишкек,Инженер-строитель ПГС,"Прораб, мастер СМР",,Высшее образование (Бакалавр),0,"['Кыргызский', 'Казахский', 'Русский', 'Турецкий', 'Узбекский']",1,"[""['AutoCAD'"", "" 'ArchiCAD'"", "" 'MS Outlook'"", "" 'Пользователь ПК'"", "" 'MS Office']""]","Способность к обучению, умение работать в коллективе, целеустремленность,ответственность, желание совершенствоваться в профессиональной сфере, высокая работа способность."
5,27,Мужчина,Турция,Expert C/C++ Backend | Solidity Blockchain Developer,"Программист, разработчик",,Высшее образование,,"['Русский', 'Английский']",1,"[""['Git'"", "" 'Docker'"", "" 'Kubernetes'"", "" 'Linux'"", "" 'Python'"", "" 'C++'"", "" 'C/C++'"", "" 'Assembler'"", "" 'C'"", "" 'Lua'"", "" 'Исполнительность'"", "" 'Обучаемость'"", "" 'Мотивация'"", "" 'Работа в команде'"", "" 'Unix'"", "" 'Mac'"", "" 'Mac Os'"", "" 'Windows'"", "" 'Solidity']""]","Ссылка на git - https://github.com/dpatrica
Основная информация:
Преподавал Python и lua в Roblox детям до 18 лет.
Успел поработать с микроконтроллерами (один год) (C/C++)
В настоящее время я работаю с блокчейном.
Пишу на C и C++ и немного на Python и Solidity.
Готов начать изучение любого нового для меня языка/стека, если мне понравится ваш проект.
_______________________________________
Дополнительная информация для интересующихся:
Всю жизнь увлекался и увлекаюсь физикой, математикой и информатикой. Люблю технику и любого рода автоматизацию. После школы, выбрав как дополнительные предметы для сдачи ЕГЭ - Физику и Информатику, поступил на бюджет в технологический университет с Физикой, отложив Информатику на будущее, т.к. знания в этой области были итак не плохие (всегда считал себя техническим программистом), а физика на тот момент была интереснее. Получив диплом, сразу же устроился на работу по специальности, стоял на станке с ЧПУ. Поработав так около 3- месяцев, понял, что эта работа явно не для меня. Слишком скучно и никакого развития, да и оплата была так себе, с сомнительными перспективами. Совсем не то, чего я хотел. Ушёл в IT. Первым делом, немного изучив сферу - запустил товарный бизнес, позже - долгое время занимался рекламой (smm), арбитражил. Через некоторое время меня пригласили работать в агентство по развитию проектов, прошло ещё немного времени и я стал ТимЛидом. Параллельно открывал свою кафешку (которая благополучно закрылась из-за пандемии и внутренних проблем). Решил, что пора возвращаться к истокам и всё кардинально менять. Окончательно бросил пить и курить, начал искать себе подходящее учебное заведение. Узнал, что есть некая французская школа 21 (aka school 42). Данная школа программирования отличается от остальных учебных заведений довольно сильно, обучение методом пир-ту-пир. Проектный формат. Мне это понравилось и я успешно прошёл вступительный месяц интенсива (там это называется бассейн). Поступив на основное обучение тут же начал усердно учиться. На данный момент прошло почти 3 года с начала основного обучения. Спустя полгода-год со старта я мог с уверенностью сказать, что очень хорошо знаю язык C. Написал на нём уже почти всё, что можно, включая псевдо 3D игру, реализовал свой bash, printf и многое другое. Также теперь есть знания C++ и Python. Очень нравится сфера машинного обучения и нейронных сетей. Хочу в дальнейшем связать с этим свою жизнь.
Ссылка на git - https://github.com/dpatrica
Спасибо."
6,40,Женщина,Турция,Журналист-копирайтер,"Копирайтер, редактор, корректор",,Высшее образование,9,"['Русский', 'Английский', 'Турецкий']",1,"[""['Ответственность'"", "" 'Грамотность'"", "" 'Креативность'"", "" 'Работа с большим объемом информации'"", "" 'Ориентация на результат']""]","Чтение — мое второе Я. Моя работа — отражение любимого занятия. Работаю с текстами во всех направлениях: читаю, пишу, корректирую, редактирую. В «багаже» инфостатьи, сео-тексты, продающие тексты, новостные статьи/пресс-релизы, посты для соц. сетей. Создаю текстовые прототипы сайтов/landing page. Составляю контент-стратегии и контент-планы. "
7,30,Мужчина,Турция,Маркетолог / руководитель проектов,Руководитель проектов,,Высшее образование,2,['Русский'],0,"[""['Яндекс.Директ'"", "" 'Яндекс.Метрика'"", "" 'оптимизация рекламных кампаний'"", "" 'Аналитический склад ума'"", "" 'Стратегическое мышление'"", "" 'Интернет-реклама'"", "" 'Работа с базами данных'"", "" 'Ориентация на клиента'"", "" 'Таргетированная Реклама'"", "" 'Нахождение ЦА'"", "" 'CRM'"", "" 'Коперайтинг'"", "" 'Ведение документации'"", "" 'СММ'"", "" 'Развитие бренда'"", "" 'Видео креативы'"", "" 'Рекламные креативы'"", "" 'Менеджер проекта'"", "" 'Продвижение бренда'"", "" 'Формирование бренда'"", "" 'Интернет маркетинг'"", "" 'Internet Marketing'"", "" 'Управление интернет-проектами']""]","Кузнецов Алексей Максимович
Мой Instagram: @kuznecovskiy
Мои знания: 
Начинаются от поиска продукта, до формирования и ведения подразделения в организации. 
Анализ рынка, формирование предложения для нового направления, упаковка, запуск рекламы, написание скриптов продаж, формирование штата (менеджеры, дизайнеры, доставка, производство), формирование доп продаж в линейку товаров; расширение ассортимента для увеличения LTV. 
Маркетинговые исследования:
Исследование рынка; Исследование конкурентов; Исследование потребителей; Планирование рекламы.
Задачи в рамках исследования потребителей: Анализ потребительских трендов; Анализ обратной связи от клиентов; Сегментация аудитории; Составление портрета целевой аудитории; Поиск точек контакта с целевой аудиторией; Анализ интересов аудитории.
Процесс формирования работы:
Контроль создания посадочных страниц; Планирование рекламы; Создание и контроль производства рекламных материалов; Организация и контроль размещения рекламы.
Разработка маркетинговой стратегии; Медиапланирование; Мониторинг реализации и анализ эффективности.
Наружная реклама:
Планирование рекламы; Организация и контроль размещения наружной рекламы.
Работал с:
Продвижением через контекстную рекламу; Продвижением через таргетированной рекламу; Продвижение через рекламную сеть Яндекса; Продвижение по сео (внутренние факторы и внешние факторы); Продвижение в соц сетях (таргет и посев); Продвижение через блогеров; Продвижение; Продвижение через паблики телеграмм; Ведением аккаунтов в соц сетях, Проведением мероприятий для взаимодействия с аудиторией. 
Системы аналитики: Яндекс.Аналитика; Google Analytics; Google trends;  yandex wordstat; vidIQ. 
Принимал участие в проекте «Медийная Футбольная Лига» и БК.
E commerce:
Запуск магазина на Ozon. 
(Интересно было бы поработать ещё над каким то проектом из этого инструмента реализации товара.)
+ принимал участие на этапе формирования Лайв раздела в приложении Ozon. - создание крео роликов (по договору блогер - маркетинговое агенство инсайт пипл) 
Управление бюджетом:
Расчёт и планирование бюджета; Мониторинг и контроль бюджета; Оптимизация бюджета.
Знаю что такое и как с этим работать: Охват рекламной кампании (Reach, Cover); Стоимость за клик (CPC, cost per click); Коэффициент конверсии (CR, conversion rate); Стоимость за лид (CPL, cost per lead); Другое.
Участвовал в тендерах на площадках:
44 ФЗ - Без привлечения сторонних экспертов. (Хорошо разбираюсь в договорах и документациях)
Плюс, есть опыт в активных продажах сложных продуктов для бизнеса. 
Личные качества: 
Аналитический склад ума.
Душа коллектива.
Хорошее чувство юмора.
Любовь к саморазвитию. 
Умение слышать.
Креативность.
Ответственность. 
Любопытство и рвение ко всему новому. 
Считаю что лучшая работа, это твоё хобби,
чем для меня и является маркетинг. "
8,36,Мужчина,Астрахань,Руководитель юридического подразделения,Директор юридического департамента (CLO),,Высшее образование,9,"['Русский', 'Английский', 'Турецкий']",1,"[""['Разработка регламентов'"", "" 'Управленческая отчетность'"", "" 'Разработка и внедрение политик и процедур'"", "" 'Управленческие навыки'"", "" 'Деловая переписка'"", "" 'Управление персоналом']""]","Желаю способствовать развитию перспективной компании.  
Оперативно и грамотно выполняю поставленные задачи. Способен доводить и воспринимать информацию, решать возникающие проблемы, планировать и организовывать рабочий процесс.
Надежный; придерживаюсь строгой рабочей этики; готов работать сверхурочно; способен учиться и работать в команде."
9,,Male,Turkey,Purchasing and logistics manager,"Sales manager, account manager",,Higher education,22,"['Russian', 'English']",1,"[""['Supply Chain Management'"", "" 'Business Development'"", "" 'Strategic Planning'"", "" 'Budgeting'"", "" 'Negotiation skills'"", "" 'Business Planning']""]",
